file_id,filename,chapbook_id,place_printed,place_printed_nation,place_published,place_sold,publisher,printer,bookseller,date,volume,item,imprint,nls_digital_chapbook_page_id,assigned_date,assigned_printer,assigned_publisher,assigned_place_printed,assigned_place_published,assigned_place_sold
2113,104184983/image/108511437.3.jpg,104184983,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1816,L.C.2826,L.C.2826(19),Printed by T. Johnston,108511435,,,,,,
2114,104184983/image/108511389.3.jpg,104184983,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1816,L.C.2826,L.C.2826(19),Printed by T. Johnston,108511387,,,,,,
2115,104184913/image/108517701.3.jpg,104184913,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,[1814-1825?],L.C.2823,L.C.2823(46),Printed by T. Johnston,108517699,,,,,,
2116,104184913/image/108517785.3.jpg,104184913,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,[1814-1825?],L.C.2823,L.C.2823(46),Printed by T. Johnston,108517783,,,,,,
2117,104184991/image/108654285.3.jpg,104184991,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1817,L.C.2826,L.C.2826(26),Printed by T. Johnston,108654283,,,,,,
2118,104186818/image/108567021.3.jpg,104186818,Stirling,Scotland,,,,"Macnie, William",,1824,L.C.2874,L.C.2874(8),Printed by W. Macnie,108567019,,,,,,
2119,104186690/image/108896840.3.jpg,104186690,Stirling,Scotland,,,,"Randall, Mary, -1847",,[1813-1820?],L.C.2870,L.C.2870(26),Printed by M. Randall,108896838,,,,,,
2120,104186193/image/108606741.3.jpg,104186193,Kilmarnock,Scotland,,,,"Crawford, Hugh, active 1805-1851",,1831,L.C.2854,L.C.2854(17),"Printed H. Crawford, bookseller",108606739,,,,,,
2121,104184222/image/107740490.3.jpg,104184222,,,Dunbar,,,"Miller, George, 1771-",,[1795-1804],L.C.2795,L.C.2795(8),"Printed for and sold by G. Miller at whose shop may be had, a variety of small histories, sermons &c. Catechisms, ballads, children's books and pictures. Whole sale and retail.",107740488,,,,,,
2122,104184353/image/117789747.3.jpg,104184353,Edinburgh,Scotland,,,,"Morren, John, active 1784-1822",,[1800?],L.C.2803,L.C.2803(2),"Printed by J. Morren, Cowgate.",117789745,,,,,,
2123,104187109/image/108537069.3.jpg,104187109,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2892,L.C.2892(42),Printed for the booksellers,108537067,,,,,,
2124,104184370/image/117873764.3.jpg,104184370,Edinburgh,Scotland,,,,"Morren, John, active 1784-1822",,[1800?],L.C.2804,L.C.2804(18),"Prinsed [sic] and sola [sic] by J. Morren, Cowgate",117873762,,,,,,
2125,104185426/image/108750032.3.jpg,104185426,Glasgow,Scotland,,,,J. & M. Robertson,,1802,L.C.2838,L.C.2838(14),"Printed by J. & M. Robertson, Saltmarket",108750030,,,,,,
2126,104186795/image/108569205.3.jpg,104186795,Stirling,Scotland,,,,"Macnie, William",,1825,L.C.2874,L.C.2874(23),Printed by W. Macnie,108569203,,,,,,
2127,104185162/image/108504849.3.jpg,104185162,Hatton of Fintray,Scotland,,,,,,[1870-1885?],L.C.2830,L.C.2830(19),Printed for the booksellers,108504847,,,,,,
2128,104185162/image/108504765.3.jpg,104185162,Hatton of Fintray,Scotland,,,,,,[1870-1885?],L.C.2830,L.C.2830(19),Printed for the booksellers,108504763,,,,,,
2129,104185616/image/108647829.3.jpg,104185616,Glasgow,Scotland,,,,,,[1850-1860?],L.C.2845,L.C.2845(10),Printed for the booksellers,108647827,,,,,,
2130,104185196/image/108780560.3.jpg,104185196,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.B,L.C.2852.B(4),Printed for the booksellers,108780558,,,,,,
2131,104184172/image/107126542.3.jpg,104184172,Ayr,Scotland,,,,David Macarter & Co.,,[1817-1818],L.C.2790,L.C.2790(3),Printed by D. Macarter & Co,107126540,,,,,,
2132,104184172/image/107126626.3.jpg,104184172,Ayr,Scotland,,,,David Macarter & Co.,,[1817-1818],L.C.2790,L.C.2790(3),Printed by D. Macarter & Co,107126624,,,,,,
2133,104184645/image/108669549.3.jpg,104184645,Edinburgh,Scotland,,,,,,[1815-1825?],L.C.2815,L.C.2815(15),Printed for the booksellers,108669547,,,,,,
2134,104187099/image/108538029.3.jpg,104187099,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2892,L.C.2892(33),Printed for the booksellers,108538027,,,,,,
2135,104185736/image/117712865.3.jpg,104185736,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2847,L.C.2847(31),Printed for the booksellers,117712863,,,,,,
2136,104184368/image/117785804.3.jpg,104184368,Edinburgh,Scotland,,,,"Morren, John, active 1784-1822",,1809,L.C.2804,L.C.2804(16),"Printed and sold by J. Morren, Cowgate",117785802,,,,,,
2137,104185226/image/108772196.3.jpg,104185226,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.C,L.C.2852.C(6),Printed for the booksellers,108772194,,,,,,
2138,104185226/image/108771920.3.jpg,104185226,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.C,L.C.2852.C(6),Printed for the booksellers,108771918,,,,,,
2139,104185157/image/108505245.3.jpg,104185157,Hatton of Fintray,Scotland,,,,,,[1870-1885?],L.C.2830,L.C.2830(14),Printed for the booksellers,108505243,,,,,,
2140,104187128/image/108535245.3.jpg,104187128,,,,,,"Macnie, William",,[1840-1850?],L.C.2892,L.C.2892(6),Printed for the booksellers,108535243,,,,,,
2141,104185371/image/108649893.3.jpg,104185371,Glasgow,Scotland,,,,J. & M. Robertson,,1800,L.C.2835,L.C.2835(28),"Printed by J. & M. Robertson, Saltmarket",108649891,,,,,,
2142,104184414/image/117779658.3.jpg,104184414,Edinburgh,Scotland,,,,"Morren, John, active 1784-1822",,[1800?],L.C.2806,L.C.2806(17),Printed by J. Morren Cowgate.,117779656,,,,,,
2143,104186838/image/108884648.3.jpg,104186838,Stirling,Scotland,,,,"Macnie, William",,[1820-1830?],L.C.2875,L.C.2875(8),"Printed by W. Macnie, where is always kept on sale, a choice and extensive assortment of histories, songs, children's story books, school books, &c., &c.",108884646,,,,,,
